Version,Input Version,Ice Optics Parameterization,3D Parameterization,Aerosol Optics
v1,v1,Fu-IFS,Off,Off
v3.1,v1,Fu-IFS,Off,Off
v3.2,v1,Fu-IFS,Off,Off
v4,v1,Yi2013,Off,Off
v5,v1,Fu-IFS,On,Off
v6,v1,Baran2016,On,Off
v7,v1,Baran2016,Off,Off
v8,v2,Fu-IFS,Off,Off
v9,v2,Baran2016,Off,Off
v10,v3,Fu-IFS,Off,Off
v11,v4,Fu-IFS,Off,Off
v12,v1,Fu-IFS,Off,Off
v13,v5,Fu-IFS,Off,Off
v13.1,v5,Fu-IFS,Off,Off
v13.2,v5,Fu-IFS,Off,Off
v14,v9,Fu-IFS,Off,Off
v15,v6,Fu-IFS,Off,Off
v16,v7,Fu-IFS,Off,Off
v17,v8,Fu-IFS,Off,Off
v18,v6,Baran2016,Off,Off
v19,v6,Yi2013,Off,Off
v20,v7,Baran2016,Off,Off
v21,v8,Baran2016,Off,Off
v22,v6,Fu-IFS,On,Off
v23,v8,Fu-IFS,On,Off
v24,v6,Baran2016,On,Off
v25,v8,Baran2016,On,Off
v26,v7,Fu-IFS,On,Off
v27,v7,Baran2016,On,Off
v28,v7,Yi2013,Off,Off
v29,v8,Yi2013,Off,Off
v30,v6,Fu-IFS,Off,On
v31,v6,Yi2013,Off,On
v32,v6,Baran2016,Off,On
v33,v7,Fu-IFS,Off,On
v34,v7,Yi2013,Off,On
v35,v7,Baran2016,Off,On
v36,v7,Fu-IFS,Off,Off
v37,v7,Yi2013,Off,Off
v38,v7,Baran2016,Off,Off
v39,v6,Fu-IFS,Off,Off
v40,v6,Yi2013,Off,Off
v41,v7,Fu-IFS,Off,Off
v42,v7,Yi2013,Off,Off
v43,v10,Fu-IFS,Off,Off
